temperature,rainfall,humidity,ph
20.87974371,202.9355362,82.00274423,6.502985292
21.77046169,226.6555374,80.31964408,7.038096361
23.00445915,263.9642476,82.3207629,7.840207144
26.49109635,242.8640342,80.15836264,6.980400905
20.13017482,262.7173405,81.60487287,7.628472891
23.05804872,251.0549998,83.37011772,7.073453503
22.70883798,271.3248604,82.63941394,5.70080568
20.27774362,241.9741949,82.89408619,5.718627178
24.51588066,230.4462359,83.5352163,6.685346424
23.22397386,221.2091958,83.03322691,6.336253525
26.52723513,264.6148697,81.41753846,5.386167788
23.97898217,250.0832336,81.45061596,7.50283396
26.80079604,284.4364567,80.88684822,5.108681786
24.01497622,185.2773389,82.05687182,6.98435366
25.66585205,209.5869708,80.66385045,6.94801983
24.28209415,231.0863347,80.30025587,7.042299069
21.58711777,276.6552459,82.7883708,6.249050656
23.79391957,206.2611855,80.41817957,6.970859754
21.8652524,224.5550169,80.1923008,5.953933276
23.57943626,291.2986618,83.58760316,5.85393208
21.32504158,185.4974732,80.47476396,6.442475375
25.15745531,231.3843163,83.11713476,5.070175667
21.94766735,213.3560921,80.97384195,6.012632591
21.0525355,233.1075816,82.67839517,6.254028451
23.48381344,224.0581164,81.33265073,7.375482851
25.0756354,257.0038865,80.52389148,7.778915154
26.35927159,271.3586137,84.04403589,6.286500176
24.52922681,260.2634026,80.54498576,7.070959995
20.77576147,240.0810647,84.49774397,6.244841491
22.30157427,197.9791215,80.64416466,6.043304899
21.44653958,272.2017204,84.94375962,5.824709117
22.17931888,200.0882787,80.33127223,6.357389366
24.52783742,224.6757231,82.73685569,6.364134968
20.26707606,270.4417274,81.63895217,5.01450727
25.7354293,233.1321372,83.88266234,6.149410611
26.79533926,193.3473987,82.1480873,5.950660556
26.75754171,272.2999056,81.17734011,5.960370061
23.86330467,285.2493645,83.15250801,5.561398642
21.01944696,298.4018471,82.95221726,7.416245107
24.17298839,257.0343554,83.7287574,5.583370042
22.78133816,248.7183228,82.06719137,6.430010215
25.62980105,209.9001977,83.52842314,5.534878156
25.59704938,200.834898,80.14509262,6.903985986
23.83067496,298.5601175,84.81360127,6.271478838
26.31355498,265.5355937,82.36698992,7.224285503
24.8972823,183.6793207,80.52586088,6.13428721
24.958779,196.9560008,84.47963372,5.206373153
23.24113501,233.0453455,84.59201843,7.782051313
21.66628296,210.8142087,80.70960551,7.062779015
24.63544858,253.7202781,80.41363018,7.730367824
23.43121862,219.9048349,83.06310136,5.286203711
20.0454142,208.5810155,80.3477562,6.766240045
23.85724032,195.0948311,82.22572988,7.382762603
21.97199397,227.3637009,81.89918197,5.658169482
26.22916897,286.5083725,83.83625819,5.543360238
23.44676801,283.9338466,84.79352417,6.215109715
